# F81039_102.txt 
# Nodes 
80
# Arcs 
284
# Required Edges 
111
# Num Intervals 
10
# Arcs and travel times 
1	2	191	210	225	234	223	220	221	245	193	189
9	10	627	777	687	713	668	710	722	905	650	627
17	18	235	369	278	273	278	294	296	366	246	240
25	26	160	160	205	186	183	203	190	183	161	160
33	34	261	289	330	293	281	280	304	327	294	265
41	42	302	374	357	374	401	370	369	521	365	318
49	50	348	402	428	406	404	409	430	415	394	348
57	58	212	391	278	260	217	245	260	283	230	222
65	66	179	217	249	227	233	227	224	199	183	183
73	74	149	178	170	177	160	167	172	225	161	153
2	3	397	537	506	457	448	466	484	451	420	407
10	11	781	889	772	739	749	746	966	943	774	679
18	19	227	332	259	248	239	262	288	369	286	229
26	27	243	279	327	319	291	303	326	402	261	245
34	35	259	344	354	289	281	286	296	290	271	261
42	43	296	357	325	351	320	330	327	341	311	282
50	51	767	1008	884	857	837	1008	1008	1008	826	767
58	59	226	292	283	265	278	281	284	357	262	232
66	67	244	245	312	280	296	296	296	283	253	244
74	75	113	134	125	148	145	145	126	167	119	113
3	4	605	748	719	689	674	721	738	887	683	599
11	12	472	566	527	519	518	519	543	782	577	471
19	20	251	333	285	271	280	289	314	355	259	265
27	28	383	461	528	516	499	529	522	538	381	381
35	36	481	601	554	532	529	550	591	710	569	479
43	44	142	155	181	192	184	177	199	181	143	142
51	52	637	723	716	697	709	759	798	794	643	634
59	60	216	286	301	313	279	292	336	291	216	216
67	68	104	107	116	127	118	114	116	144	113	105
75	76	200	238	246	245	224	240	232	265	231	209
4	5	466	628	571	578	534	554	594	640	514	480
12	13	155	219	215	203	199	216	215	244	189	164
20	21	175	286	210	203	190	197	202	244	206	184
28	29	731	871	817	814	820	845	853	957	718	718
36	37	315	432	384	360	356	376	365	418	339	315
44	45	294	353	359	373	335	373	399	372	324	294
52	53	333	358	365	362	364	361	364	411	332	339
60	61	260	355	336	330	293	320	355	418	302	263
68	69	216	282	254	260	258	286	281	390	280	216
76	77	260	338	309	288	276	289	301	373	276	259
5	6	539	630	612	596	567	647	613	687	576	540
13	14	326	423	423	357	392	418	422	531	410	326
21	22	151	179	160	162	157	172	201	159	155	152
29	30	592	784	802	724	624	689	758	875	630	591
37	38	242	291	380	326	302	332	345	317	298	249
45	46	255	278	315	346	291	315	321	351	267	255
53	54	302	360	356	357	366	371	375	403	346	302
61	62	329	506	410	391	376	381	389	493	368	344
69	70	358	375	438	425	442	442	443	493	388	360
77	78	399	469	562	538	506	555	543	508	399	399
6	7	193	193	246	245	238	244	243	238	200	195
14	15	542	541	530	495	506	537	658	748	555	455
22	23	212	260	261	247	234	269	284	359	284	214
30	31	601	770	695	666	693	716	747	800	594	582
38	39	458	545	567	536	538	554	553	602	484	471
46	47	295	378	385	349	339	380	396	465	350	297
54	55	268	289	350	342	348	341	359	338	297	266
62	63	250	258	273	283	264	267	268	313	248	241
70	71	574	712	707	695	639	659	706	685	606	584
78	79	719	939	835	820	821	884	878	942	716	707
7	8	281	283	373	350	355	369	368	368	294	281
15	16	414	450	499	462	420	453	482	468	424	402
23	24	117	120	160	150	142	155	144	139	119	118
31	32	410	488	495	476	460	483	480	684	474	408
39	40	407	466	484	483	461	481	468	491	419	416
47	48	193	285	265	265	257	271	275	298	201	203
55	56	245	274	325	330	322	284	355	318	264	247
63	64	134	184	154	159	145	147	153	206	151	134
71	72	328	414	397	389	405	400	417	503	362	328
79	80	564	698	654	634	608	676	743	888	650	559
1	9	459	484	490	520	488	482	504	534	474	459
9	17	329	353	384	404	377	378	386	385	335	325
17	25	359	389	406	438	400	415	402	421	368	359
25	33	390	418	476	427	445	459	432	550	412	400
33	41	527	666	592	555	532	528	595	551	502	533
41	49	514	573	603	579	585	582	575	798	588	511
49	57	290	370	366	300	319	317	337	441	301	289
57	65	282	390	350	314	301	325	334	374	355	289
65	73	312	389	368	353	354	360	379	419	334	334
2	10	337	404	383	375	368	388	393	496	403	337
10	18	370	385	326	328	313	334	485	484	372	289
18	26	214	265	246	247	229	258	265	322	222	215
26	34	361	406	423	430	407	433	435	496	386	361
34	42	147	179	212	191	162	175	158	162	171	168
42	50	175	222	202	229	198	194	199	207	196	163
50	58	249	296	289	294	280	278	291	318	275	249
58	66	177	204	204	233	201	229	195	225	182	178
66	74	178	199	238	211	223	212	217	242	183	178
3	11	171	181	241	222	216	218	200	182	172	171
11	19	546	677	589	587	581	606	648	885	645	549
19	27	184	195	262	261	257	253	277	273	210	184
27	35	625	730	676	675	676	659	704	760	625	588
35	43	347	415	387	372	403	375	447	510	427	346
43	51	602	704	705	704	704	704	725	767	704	592
51	59	558	590	667	639	656	691	676	732	574	560
59	67	288	349	338	327	321	346	376	411	316	289
67	75	203	230	227	243	226	240	226	277	218	204
4	12	149	182	184	171	172	201	177	175	159	155
12	20	161	217	204	178	184	192	194	227	183	169
20	28	378	553	489	465	452	468	484	606	449	387
28	36	279	292	349	321	343	353	363	341	292	283
36	44	250	289	314	299	292	300	301	314	260	250
44	52	119	128	144	153	153	146	138	184	136	120
52	60	414	491	460	443	422	468	493	582	436	406
60	68	203	263	261	250	243	267	260	299	227	209
68	76	147	179	171	174	164	199	172	205	189	156
5	13	274	309	315	300	296	312	313	370	300	271
13	21	160	241	231	187	203	225	223	271	211	161
21	29	478	555	524	485	483	518	522	534	485	467
29	37	553	716	762	674	585	607	646	804	569	542
37	45	424	617	560	511	467	503	567	585	486	439
45	53	399	446	491	518	462	478	487	548	422	399
53	61	291	399	347	344	320	342	359	448	323	291
61	69	301	503	386	373	377	389	393	473	375	311
69	77	318	378	411	372	387	426	399	492	348	320
6	14	300	331	374	340	358	392	359	439	329	312
14	22	444	427	405	385	378	404	565	540	458	359
22	30	238	297	280	267	259	280	299	393	316	240
30	38	252	262	297	301	292	308	300	334	260	256
38	46	381	460	457	439	447	451	474	473	395	379
46	54	184	204	248	232	244	240	241	243	215	184
54	62	104	151	151	150	161	145	152	153	146	104
62	70	597	727	692	650	657	694	696	821	614	601
70	78	442	444	539	531	505	542	538	493	442	422
7	15	553	650	678	626	647	698	668	802	569	571
15	23	338	442	452	412	380	436	445	489	403	338
23	31	557	713	641	619	644	681	690	778	560	545
31	39	507	569	599	578	591	589	592	701	569	507
39	47	376	472	444	434	425	448	476	529	410	378
47	55	241	267	320	339	320	330	333	290	253	248
55	63	204	232	264	268	267	281	263	321	232	213
63	71	126	176	170	179	146	159	157	130	147	129
71	79	519	647	588	596	598	601	598	597	523	524
8	16	483	583	557	561	523	571	617	660	509	494
16	24	500	611	551	567	531	590	602	711	532	495
24	32	324	417	396	371	369	384	408	434	330	332
32	40	298	415	378	357	331	383	387	445	379	301
40	48	287	370	370	362	355	388	383	443	317	295
48	56	371	475	445	420	403	447	501	545	398	373
56	64	183	182	197	206	194	207	195	241	178	174
64	72	241	329	278	260	268	282	283	335	247	244
72	80	295	504	371	355	338	368	372	464	364	312
2	1	209	231	242	245	236	262	266	283	223	231
10	9	743	754	745	720	689	714	920	910	745	643
18	17	109	135	137	133	134	138	148	173	108	107
26	25	159	162	188	216	164	180	182	179	159	159
34	33	319	343	361	355	338	353	353	403	332	314
42	41	306	445	406	411	360	364	394	369	326	297
50	49	384	431	438	430	414	426	421	483	411	383
58	57	197	265	219	203	216	226	225	311	207	197
66	65	160	177	220	207	227	204	216	267	177	160
74	73	146	154	158	152	157	187	168	213	161	157
3	2	378	430	445	428	424	446	450	534	433	371
11	10	641	806	709	708	690	710	747	1017	743	644
19	18	190	269	204	219	209	230	238	262	196	197
27	26	251	320	334	334	300	345	346	355	259	253
35	34	276	354	337	327	337	319	408	448	351	276
43	42	285	360	337	335	335	312	369	340	312	306
51	50	783	929	915	900	882	955	966	980	802	782
59	58	210	267	259	255	236	258	271	262	233	212
67	66	241	239	281	301	261	297	268	285	244	239
75	74	135	155	157	157	148	156	149	183	140	135
4	3	655	827	762	763	745	753	795	833	662	646
12	11	514	614	532	528	543	520	544	583	519	495
20	19	246	380	294	280	268	294	298	387	319	255
28	27	375	455	523	469	492	528	525	514	411	383
36	35	520	571	552	547	556	535	540	557	509	500
44	43	144	159	186	192	186	181	173	168	147	144
52	51	722	831	823	799	780	857	853	878	767	712
