# P162100_52.txt 
# Nodes 
31
# Arcs 
188
# Required Edges 
34
# Num Intervals 
5
# Arcs and travel times 
1	2	743	1009	925	950	737
2	1	732	878	965	875	894
1	3	1446	1643	1527	1810	1522
3	1	1553	1824	1816	1860	1588
2	3	1789	2012	1999	2329	2075
3	2	2152	2467	2326	2467	2062
3	4	1281	1575	1463	1586	1405
4	3	1159	1319	1188	1358	1296
4	5	1117	1246	1175	1241	1202
5	4	1154	1368	1359	1389	1238
6	7	1039	1253	1185	1183	1095
7	6	1038	1299	1245	1235	1149
7	8	551	686	697	752	587
8	7	455	633	590	640	480
8	9	745	964	879	867	814
9	8	1141	1047	977	1381	1151
10	11	2060	2228	2224	2501	2060
11	10	2062	2246	2206	2212	2110
10	12	531	658	597	704	599
12	10	511	699	624	669	543
11	12	2442	2564	2529	2819	2443
12	11	2272	2607	2547	2960	2333
12	13	1066	1405	1231	1321	1144
13	12	1361	1503	1353	1621	1361
12	14	923	1169	1066	1207	969
14	12	868	1152	981	1164	1086
13	14	1435	1629	1511	1707	1555
14	13	1301	1548	1398	1585	1510
15	16	697	980	855	988	773
16	15	764	1083	886	1090	1017
15	17	800	1083	976	1107	874
17	15	981	1193	1068	1316	1061
16	17	470	719	716	641	474
17	16	480	673	615	707	483
16	20	957	1134	1088	1129	1016
20	16	958	1208	1111	1196	1039
17	20	1242	1436	1454	1573	1311
20	17	1243	1575	1452	1576	1314
17	18	804	1081	1113	1119	841
18	17	780	1179	1019	1096	797
17	19	940	1089	961	1290	986
19	17	849	1083	1078	1125	923
18	19	1126	1471	1307	1394	1326
19	18	1145	1350	1345	1383	1192
19	20	1221	1414	1433	1452	1252
20	19	1164	1428	1360	1394	1206
19	21	940	1253	1232	1302	1043
21	19	929	1240	1080	1290	1046
20	21	1131	1448	1336	1419	1207
21	20	1140	1338	1343	1420	1215
22	23	195	266	249	276	195
23	22	214	248	254	289	214
24	25	542	659	686	688	735
25	24	494	671	626	683	558
25	26	406	556	587	564	454
26	25	451	511	506	572	473
27	28	936	1015	1047	1067	1026
28	27	851	931	935	953	938
28	29	1503	1653	1741	1902	1609
29	28	1636	2000	1913	2117	1746
28	30	1152	1240	1303	1319	1214
30	28	1207	1412	1300	1389	1366
28	31	730	906	811	940	813
31	28	891	971	995	1004	979
29	30	1051	1337	1378	1394	1116
30	29	1089	1320	1269	1374	1274
30	31	1275	1464	1490	1447	1355
31	30	1359	1461	1529	1531	1413
1	6	1226	1340	1402	1388	1245
6	1	1124	1252	1377	1336	1158
1	7	1279	1430	1355	1440	1370
7	1	1220	1324	1480	1428	1307
1	23	1016	1215	1159	1205	1031
23	1	960	1162	1215	1224	1054
2	5	1747	1990	1966	2114	2036
5	2	2047	2267	2239	2240	1899
2	30	1572	1742	1854	1870	1780
30	2	1734	1931	1886	1931	1698
2	31	843	993	1135	1039	1032
31	2	872	1169	1058	1052	923
3	30	1017	1236	1247	1269	1116
30	3	964	1217	1050	1188	1157
3	31	1667	1974	1923	2013	1717
31	3	1576	1765	1670	1922	1676
4	7	999	1080	1036	1078	1044
7	4	996	1079	1120	1178	1124
5	6	1226	1552	1473	1420	1278
6	5	1172	1409	1382	1391	1261
5	23	483	634	619	598	483
23	5	540	628	637	637	540
5	30	1017	1166	1247	1254	1030
30	5	923	1144	1024	1138	1118
5	31	1548	1739	1830	1818	1550
31	5	1534	1692	1657	1738	1637
6	8	1120	1349	1382	1499	1294
8	6	1148	1438	1328	1343	1192
6	23	773	1006	958	930	820
23	6	824	1066	1001	1040	908
6	29	1334	1585	1674	1771	1483
29	6	1411	1851	1721	1785	1457
6	30	1017	1185	1264	1220	1056
30	6	1018	1335	1150	1203	1104
7	9	713	870	835	869	768
9	7	888	864	758	1166	888
8	11	2132	2373	2364	2960	2202
11	8	2315	2395	2364	2648	2313
8	14	772	934	896	990	817
14	8	742	917	859	983	950
8	18	913	1081	1113	1100	976
18	8	995	1309	1227	1272	1220
8	21	710	979	892	985	823
21	8	796	1078	977	1168	931
8	22	456	588	583	606	482
22	8	511	626	634	702	527
9	10	1065	878	807	1342	1065
10	9	730	855	823	807	797
9	14	1398	1394	1321	1708	1508
14	9	1133	1347	1213	1371	1342
9	18	792	1075	952	1035	809
18	9	810	991	962	984	846
9	21	668	927	781	832	668
21	9	686	862	805	786	738
9	22	1155	978	930	1467	1155
22	9	836	999	960	1016	955
10	13	898	1034	1059	1009	979
13	10	1231	1086	1007	1342	1240
11	14	1486	1522	1503	1503	1492
14	11	1372	1756	1783	1618	1512
11	18	2220	2372	2412	2424	2263
18	11	2132	2463	2425	2960	2202
11	22	2011	2133	2060	2122	2051
22	11	2060	2206	2152	2501	2060
13	15	1384	1544	1387	1658	1384
15	13	1123	1432	1265	1373	1169
14	18	747	839	893	886	764
18	14	782	1033	942	918	819
14	22	538	587	560	594	557
22	14	609	672	647	705	628
18	22	1025	1295	1178	1216	1111
22	18	1050	1110	1113	1192	1074
18	24	735	1040	896	871	804
24	18	788	1031	1008	988	839
18	26	923	1181	1110	1142	1033
26	18	957	1081	1113	1192	1050
18	29	1209	1545	1519	1544	1409
29	18	1179	1465	1459	1504	1244
18	30	214	292	333	300	220
30	18	210	247	288	299	221
21	22	830	1044	986	1131	854
22	21	850	1116	1047	1166	921
21	24	516	705	635	696	572
24	21	582	791	693	767	628
21	26	713	950	923	1016	737
26	21	765	979	912	1076	831
21	29	826	1214	1218	1188	826
29	21	825	1219	1187	1202	948
21	30	450	586	527	667	470
30	21	442	645	588	587	449
22	24	368	528	471	547	382
24	22	425	571	546	586	429
22	26	137	151	181	194	137
26	22	157	238	205	234	157
22	29	707	883	799	974	727
29	22	724	950	954	1003	742
22	30	889	982	1020	1082	930
30	22	898	1078	981	1054	983
23	24	360	547	534	585	394
24	23	428	575	505	547	461
23	26	210	287	323	341	210
26	23	214	339	325	343	214
23	29	826	955	974	1096	848
29	23	816	1124	1109	1171	838
23	30	795	953	1032	1007	868
30	23	805	1057	905	965	885
24	26	326	463	426	456	330
26	24	283	435	395	471	323
24	29	706	890	824	1003	877
29	24	697	989	945	1009	739
24	30	660	799	765	807	711
30	24	608	786	695	718	677
26	27	645	802	741	816	705
27	26	645	820	795	818	773
26	29	616	742	693	870	638
29	26	607	864	894	882	635
26	30	807	941	986	1082	881
30	26	785	985	923	960	914
27	29	1017	1362	1269	1440	1231
29	27	1046	1426	1278	1487	1101
# Required Edges 
1	2
1	3
2	3
3	4
4	5
6	7
7	8
8	9
10	11
10	12
11	12
12	13
12	14
13	14
15	16
15	17
16	17
16	20
17	20
17	18
17	19
18	19
19	20
19	21
20	21
22	23
24	25
25	26
27	28
28	29
28	30
28	31
29	30
30	31
Time Intervals 
10800
21600
32400
43200
54000
